,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(333, 294, 624)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
1,2,"(333, 294, 624)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
2,3,"(333, 291, 624)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
3,4,"(333, 291, 624)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
4,5,"(333, 288, 624)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
5,6,"(333, 288, 624)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
6,7,"(333, 285, 624)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
7,8,"(333, 285, 624)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
8,9,"(333, 282, 624)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
9,10,"(333, 282, 624)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
