,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(313, 296, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
1,2,"(313, 296, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
2,3,"(313, 293, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
3,4,"(313, 293, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
4,5,"(313, 290, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
5,6,"(313, 290, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
6,7,"(313, 287, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
7,8,"(313, 287, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
8,9,"(313, 284, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
9,10,"(313, 284, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
10,11,"(313, 281, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
