,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(290, 303, 641)",910,ORBm6a,"Orbital area, medial part, layer 6a","(36, 138, 94)"
1,2,"(290, 303, 641)",910,ORBm6a,"Orbital area, medial part, layer 6a","(36, 138, 94)"
2,3,"(290, 300, 641)",910,ORBm6a,"Orbital area, medial part, layer 6a","(36, 138, 94)"
3,4,"(290, 300, 641)",910,ORBm6a,"Orbital area, medial part, layer 6a","(36, 138, 94)"
4,5,"(290, 297, 641)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
5,6,"(290, 297, 641)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
6,7,"(290, 294, 641)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
7,8,"(290, 294, 641)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
8,9,"(290, 291, 642)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
9,10,"(290, 291, 642)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
