,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(373, 289, 630)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
1,2,"(373, 289, 630)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
2,3,"(373, 286, 630)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
3,4,"(373, 286, 630)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
4,5,"(373, 283, 630)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
5,6,"(373, 283, 630)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
6,7,"(373, 280, 630)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
7,8,"(373, 280, 630)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
8,9,"(373, 277, 630)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
9,10,"(373, 277, 630)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
