,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(400, 295, 604)",772,ACAv5,"Anterior cingulate area, ventral part, layer 5","(64, 166, 102)"
1,2,"(400, 295, 604)",772,ACAv5,"Anterior cingulate area, ventral part, layer 5","(64, 166, 102)"
2,3,"(400, 292, 604)",772,ACAv5,"Anterior cingulate area, ventral part, layer 5","(64, 166, 102)"
3,4,"(400, 292, 604)",772,ACAv5,"Anterior cingulate area, ventral part, layer 5","(64, 166, 102)"
4,5,"(400, 289, 604)",772,ACAv5,"Anterior cingulate area, ventral part, layer 5","(64, 166, 102)"
5,6,"(400, 289, 604)",772,ACAv5,"Anterior cingulate area, ventral part, layer 5","(64, 166, 102)"
6,7,"(400, 286, 604)",772,ACAv5,"Anterior cingulate area, ventral part, layer 5","(64, 166, 102)"
7,8,"(400, 286, 604)",772,ACAv5,"Anterior cingulate area, ventral part, layer 5","(64, 166, 102)"
8,9,"(400, 283, 604)",772,ACAv5,"Anterior cingulate area, ventral part, layer 5","(64, 166, 102)"
9,10,"(400, 283, 604)",772,ACAv5,"Anterior cingulate area, ventral part, layer 5","(64, 166, 102)"
10,11,"(399, 280, 604)",772,ACAv5,"Anterior cingulate area, ventral part, layer 5","(64, 166, 102)"
