,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(314, 307, 606)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
1,2,"(314, 307, 606)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
2,3,"(314, 304, 606)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
3,4,"(314, 304, 606)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
4,5,"(314, 301, 606)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
5,6,"(314, 301, 606)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
6,7,"(314, 298, 606)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
7,8,"(314, 298, 606)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
8,9,"(314, 295, 606)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
9,10,"(314, 295, 606)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
