,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(310, 300, 639)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
1,2,"(310, 300, 639)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
2,3,"(310, 297, 639)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
3,4,"(310, 297, 639)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
4,5,"(310, 294, 639)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
5,6,"(310, 294, 639)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
6,7,"(310, 291, 639)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
7,8,"(310, 291, 639)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
8,9,"(310, 288, 639)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
9,10,"(310, 288, 639)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
