,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(334, 304, 609)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
1,2,"(334, 304, 609)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
2,3,"(334, 301, 609)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
3,4,"(334, 301, 609)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
4,5,"(334, 298, 609)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
5,6,"(334, 298, 609)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
6,7,"(334, 295, 609)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
7,8,"(334, 295, 609)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
8,9,"(334, 292, 609)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
9,10,"(334, 292, 609)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
