,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(412, 284, 635)",810,ACAv6a,"Anterior cingulate area, ventral part, 6a","(64, 166, 102)"
1,2,"(412, 284, 635)",810,ACAv6a,"Anterior cingulate area, ventral part, 6a","(64, 166, 102)"
2,3,"(412, 281, 635)",810,ACAv6a,"Anterior cingulate area, ventral part, 6a","(64, 166, 102)"
3,4,"(412, 281, 635)",810,ACAv6a,"Anterior cingulate area, ventral part, 6a","(64, 166, 102)"
4,5,"(412, 278, 635)",810,ACAv6a,"Anterior cingulate area, ventral part, 6a","(64, 166, 102)"
5,6,"(412, 278, 635)",810,ACAv6a,"Anterior cingulate area, ventral part, 6a","(64, 166, 102)"
6,7,"(412, 275, 635)",810,ACAv6a,"Anterior cingulate area, ventral part, 6a","(64, 166, 102)"
7,8,"(412, 275, 635)",810,ACAv6a,"Anterior cingulate area, ventral part, 6a","(64, 166, 102)"
8,9,"(412, 272, 635)",810,ACAv6a,"Anterior cingulate area, ventral part, 6a","(64, 166, 102)"
9,10,"(412, 272, 635)",810,ACAv6a,"Anterior cingulate area, ventral part, 6a","(64, 166, 102)"
10,11,"(412, 269, 635)",810,ACAv6a,"Anterior cingulate area, ventral part, 6a","(64, 166, 102)"
