,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(354, 301, 608)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
1,2,"(354, 301, 608)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
2,3,"(354, 298, 608)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
3,4,"(354, 298, 608)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
4,5,"(354, 295, 608)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
5,6,"(354, 295, 608)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
6,7,"(354, 292, 608)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
7,8,"(354, 292, 608)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
8,9,"(354, 289, 608)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
9,10,"(354, 289, 608)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
