,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(350, 295, 641)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
1,2,"(350, 295, 641)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
2,3,"(350, 292, 641)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
3,4,"(350, 292, 641)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
4,5,"(350, 289, 641)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
5,6,"(350, 289, 641)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
6,7,"(350, 286, 641)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
7,8,"(350, 286, 641)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
8,9,"(350, 283, 641)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
9,10,"(350, 283, 641)",84,PL6a,"Prelimbic area, layer 6a","(47, 168, 80)"
