,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(353, 292, 627)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
1,2,"(353, 292, 627)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
2,3,"(353, 289, 627)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
3,4,"(353, 289, 627)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
4,5,"(353, 286, 627)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
5,6,"(353, 286, 627)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
6,7,"(353, 283, 627)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
7,8,"(353, 283, 627)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
8,9,"(353, 280, 627)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
9,10,"(353, 280, 627)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
