,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(381, 263, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
1,2,"(381, 263, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
2,3,"(381, 260, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
3,4,"(381, 260, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
4,5,"(381, 257, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
5,6,"(381, 257, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
6,7,"(381, 254, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
7,8,"(381, 254, 621)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
8,9,"(381, 251, 621)",1015,ACAd5,"Anterior cingulate area, dorsal part, layer 5","(64, 166, 102)"
9,10,"(381, 251, 621)",1015,ACAd5,"Anterior cingulate area, dorsal part, layer 5","(64, 166, 102)"
