,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(393, 287, 631)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
1,2,"(393, 287, 631)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
2,3,"(393, 284, 631)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
3,4,"(393, 284, 631)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
4,5,"(393, 281, 631)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
5,6,"(393, 281, 631)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
6,7,"(393, 278, 631)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
7,8,"(393, 278, 631)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
8,9,"(393, 275, 631)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
9,10,"(393, 275, 631)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
