,channel_no,voxel,structure_ID,acronym,name,rgb_triplet
0,1,"(361, 298, 610)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
1,2,"(361, 298, 610)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
2,3,"(361, 295, 610)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
3,4,"(361, 295, 610)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
4,5,"(361, 292, 610)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
5,6,"(361, 292, 610)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
6,7,"(361, 289, 610)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
7,8,"(361, 289, 610)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
8,9,"(361, 286, 610)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
9,10,"(361, 286, 610)",363,PL5,"Prelimbic area, layer 5","(47, 168, 80)"
